State,District,Water_Source,pH,Dissolved_Oxygen,BOD,COD,TDS,Conductivity,Turbidity,Nitrate,Phosphate,Temperature,Hardness,Chloride,Sulfate,WQI,Quality
Tamil Nadu,Madurai,Reservoir,6.59,9.08,4.76,36.81,492,670,6.74,34.6,1.81,23.6,205,58,184,33,Unsafe
Telangana,Warangal,Reservoir,7.13,8.55,4.34,41.05,198,536,8.67,15.97,0.89,27.5,235,83,93,52,Poor
West Bengal,Siliguri,Groundwater,6.36,8.37,1.11,25.09,152,641,1.08,36.81,0.44,21.4,164,164,207,58,Poor
West Bengal,Kolkata,Reservoir,8.33,6.29,7.4,40.28,560,795,1.38,35.41,1.06,33.0,183,154,54,17,Unsafe
Kerala,Thiruvananthapuram,Lake,6.63,6.34,5.81,32.58,593,827,1.2,37.35,0.32,22.5,286,48,179,23,Unsafe
Telangana,Nizamabad,Groundwater,6.41,6.19,3.29,14.75,289,399,9.12,39.26,0.14,22.8,318,41,149,21,Unsafe
Uttar Pradesh,Kanpur,Groundwater,7.84,8.31,2.52,18.89,227,300,8.15,1.65,0.31,19.8,138,54,177,57,Poor
West Bengal,Kolkata,Lake,7.12,5.48,2.8,14.93,551,367,4.12,21.66,0.12,27.8,104,43,201,32,Unsafe
Uttar Pradesh,Varanasi,River,7.73,8.23,4.28,18.33,675,328,8.31,16.06,1.75,31.5,82,42,26,29,Unsafe
Maharashtra,Nagpur,Groundwater,7.25,8.75,1.46,39.6,368,732,3.07,37.8,2.35,27.4,242,161,180,53,Poor
Karnataka,Mangaluru,Lake,7.04,4.87,2.03,22.4,273,549,1.55,9.78,0.21,21.8,335,35,116,52,Poor
Maharashtra,Pune,River,8.52,5.57,7.39,13.48,627,402,7.18,37.0,1.61,26.5,301,36,34,0,Unsafe
Delhi,New Delhi,River,6.64,7.22,1.31,38.88,102,458,4.94,26.87,2.47,30.6,95,144,121,54,Poor
Delhi,New Delhi,Groundwater,7.48,9.22,3.73,35.14,393,230,9.81,8.88,2.02,26.5,300,49,161,49,Poor
Telangana,Nizamabad,Groundwater,7.5,5.49,2.87,22.22,225,726,4.4,30.3,0.27,33.2,255,53,212,38,Unsafe
Andhra Pradesh,Vijayawada,Lake,7.64,6.95,3.31,11.74,471,512,0.94,27.29,2.15,30.9,326,50,21,42,Poor
Kerala,Kochi,Groundwater,6.38,5.89,7.64,43.39,358,347,6.88,23.19,0.19,34.2,330,142,209,20,Unsafe
Maharashtra,Mumbai,Lake,6.59,7.59,7.27,37.6,624,742,5.58,2.55,2.24,23.4,77,47,44,33,Unsafe
Telangana,Nizamabad,Lake,7.11,7.46,4.99,25.14,244,671,2.13,10.59,0.1,28.8,213,80,103,59,Poor
Tamil Nadu,Coimbatore,River,6.89,5.2,3.88,16.92,370,349,8.42,11.85,1.23,32.1,236,31,75,30,Unsafe
Kerala,Kozhikode,River,7.38,8.99,3.31,24.76,490,524,1.91,16.23,1.84,21.5,286,157,174,57,Poor
Maharashtra,Nagpur,Reservoir,8.54,6.07,4.77,21.13,399,836,2.62,20.05,2.41,24.6,325,115,61,31,Unsafe
Maharashtra,Mumbai,River,8.23,9.36,5.58,38.64,173,235,0.6,8.29,0.58,25.9,154,117,173,67,Moderate
Maharashtra,Mumbai,Lake,7.65,9.48,2.04,18.67,134,756,4.81,34.85,0.12,21.1,76,178,178,59,Poor
Tamil Nadu,Coimbatore,Reservoir,6.62,8.42,2.41,27.68,324,274,3.68,15.05,1.44,19.4,302,167,176,57,Poor
Maharashtra,Pune,Groundwater,7.21,5.02,3.92,35.12,81,481,2.97,14.55,1.26,23.5,183,82,139,53,Poor
Telangana,Hyderabad,Reservoir,6.86,9.37,4.16,28.61,612,384,3.01,4.41,1.75,34.2,131,126,114,55,Poor
Uttar Pradesh,Kanpur,Reservoir,8.53,4.84,5.5,14.2,487,533,7.7,9.2,2.36,32.2,190,123,215,15,Unsafe
Karnataka,Mysuru,Reservoir,7.48,9.28,6.11,21.64,147,316,9.37,2.35,0.74,20.5,90,175,23,58,Poor
Karnataka,Bengaluru,Reservoir,7.8,4.97,6.29,42.48,219,554,7.1,18.21,1.43,20.3,61,157,207,27,Unsafe
Tamil Nadu,Madurai,Reservoir,8.04,6.21,7.62,32.04,328,802,4.35,15.91,2.28,31.4,306,142,23,31,Unsafe
Delhi,New Delhi,Lake,7.99,5.98,6.53,36.36,502,321,1.93,15.21,0.89,21.4,84,99,211,31,Unsafe
Kerala,Kochi,Reservoir,6.9,9.26,3.45,12.88,250,893,7.85,12.52,0.96,27.6,86,120,169,57,Poor
Maharashtra,Mumbai,Reservoir,6.8,6.74,2.6,12.55,303,392,2.88,24.56,1.75,31.6,214,74,180,47,Poor
Tamil Nadu,Chennai,Lake,8.59,8.4,6.77,30.31,500,719,1.82,35.63,2.42,31.2,79,63,58,28,Unsafe
Gujarat,Vadodara,Reservoir,8.58,6.09,3.18,34.91,538,414,8.43,13.81,0.55,34.4,192,46,169,20,Unsafe
